indicator,id,year,stage
"[0.06754862504646146, 0.03349307771009936, 0.10460466228910512, 0.038177591159298765, 0.09997631706250683, 0.08733293252685541, 0.08762291824802618, 0.02062404638031042, 0.1668265953539375]",77,1977,2
"[0.1013576490933543, 0.03152454669335243, 0.10624524947327879, 0.04065410159833892, 0.07536776745151594, 0.09046613362022936, 0.09492440491441827, 0.023660227161430396, 0.21312411837153086]",78,1978,2
"[0.08066958099073815, 0.03615332273349616, 0.10225292106871799, 0.0508737793321087, 0.0999399236273108, 0.09133369764685313, 0.07812801854723218, 0.036306228220963785, 0.13293544016254563]",79,1979,2
"[0.07768438995579688, 0.03837073793085234, 0.09919429677672663, 0.05250745885559746, 0.11198025922264515, 0.08758201891792275, 0.07290420150519807, 0.03164675576713587, 0.12307778101962817]",80,1980,2
"[0.09191611465726102, 0.0311464617895807, 0.10006501840466575, 0.04848041247619003, 0.09250327839275704, 0.08598941141213673, 0.06432281747360187, 0.03164001789105869, 0.09973919389558175]",81,1981,2
"[0.11038264524550227, 0.029529894906035085, 0.10111701836276064, 0.05265414541895122, 0.07585567465891312, 0.08260745344947697, 0.06570023214644574, 0.03393280893538757, 0.10546744338583544]",82,1982,2
"[0.10621726240604937, 0.031495507105662804, 0.09735391205753847, 0.056676993847672365, 0.08150103594285472, 0.09133113614075682, 0.0664855963036874, 0.03373069934977962, 0.10740940288785464]",83,1983,2
"[0.11892168006638076, 0.028491489992526705, 0.09419043548808174, 0.05211450043784397, 0.07323367231560275, 0.08763326997450616, 0.0725092534804328, 0.04121019527216064, 0.12626558233629878]",84,1984,2
"[0.12086552539145877, 0.029363962767347113, 0.10257121929756842, 0.05714962314898264, 0.07419696521844023, 0.09194267560600547, 0.07286333650770122, 0.05260383534755738, 0.11380164386752574]",85,1985,2
"[0.13044590592220048, 0.026303203215929962, 0.10183856370568382, 0.06262451521302295, 0.08162357971797903, 0.09546957732966395, 0.07161309153964111, 0.06704269315313059, 0.1055925488843981]",86,1986,2
"[0.15120339707214087, 0.029145357616452906, 0.10075937424268151, 0.05496260167925546, 0.0613505074593293, 0.0973530855884194, 0.07464373093061508, 0.06617950236299934, 0.12756435547973366]",87,1987,2
"[0.15307781934989467, 0.029909194934590048, 0.09448011161015288, 0.0478951206434574, 0.06705257956476689, 0.0965708948187491, 0.06902402534957151, 0.043774228955012214, 0.1011114250322526]",88,1988,2
"[0.1686980049978431, 0.02879236707273377, 0.09467926102205054, 0.04385488395781134, 0.06736353496180573, 0.09508824679938782, 0.0683390805338812, 0.038409768527600446, 0.10423575036729507]",89,1989,2
"[0.19618953173823234, 0.024101932954756048, 0.09504452527698307, 0.041780216560997036, 0.06030849556337718, 0.09295840355510544, 0.06627195733930753, 0.0314208102501667, 0.10040585617165809]",90,1990,2
"[0.2027152981867086, 0.02396077122833666, 0.09218081685857835, 0.03805508433599558, 0.06441857387386898, 0.08896046148483759, 0.06204497819951203, 0.033991381929816676, 0.08963730900043258]",91,1991,2
"[0.2259720190403207, 0.022823357107675007, 0.09189273654740424, 0.038335262977567945, 0.05708396497938441, 0.09063822699995507, 0.057918873205714524, 0.03755026060419066, 0.07867595920022866]",92,1992,2
"[0.226388557324266, 0.02050796367956832, 0.08881891562936754, 0.03169946172604157, 0.05226366404848326, 0.09790189719445852, 0.056081313335693266, 0.031658871725523195, 0.06963267594837894]",93,1993,2
"[0.24763200980547587, 0.018142467580516606, 0.08729476928807493, 0.03473578345291482, 0.05736632971948147, 0.09285030232414068, 0.0812195632709922, 0.034848336960462974, 0.0727772046625633]",94,1994,2
"[0.23138701673160947, 0.02150146784337293, 0.0929466299495851, 0.04221975842924483, 0.054586648554674995, 0.09048173566110097, 0.09427239338163855, 0.038786428722051604, 0.09892503022014493]",95,1995,2
"[0.27401276778867767, 0.018626243166598545, 0.09375685329473883, 0.040033869676242166, 0.0486014369091397, 0.07917848192929454, 0.08901297214395285, 0.03813297600976642, 0.08684356139095269]",96,1996,2
"[0.2542271993012763, 0.0200758552098756, 0.09426577441045603, 0.04710893417990994, 0.05766927999896147, 0.08262897346897129, 0.09882513636368583, 0.04723809214137215, 0.10350741411016957]",97,1997,2
"[0.22152894401157094, 0.02303910428660747, 0.0926001873282988, 0.05755467120847054, 0.07767218300388407, 0.07989691929741921, 0.098151905076147, 0.0629216841104566, 0.08678784287606091]",98,1998,2
"[0.2236810584786216, 0.022386014800159094, 0.0912751683015012, 0.05732323662573215, 0.06655697847727784, 0.0789617066619285, 0.09901765264911587, 0.06397330518515015, 0.0900449912522412]",99,1999,2
"[0.24693777933223374, 0.025922441795325456, 0.09533265675717757, 0.07127267313844014, 0.05854534886792287, 0.07462086980611184, 0.10539696789506557, 0.08324578147095525, 0.09987287713716596]",100,2000,2
"[0.27033334628049427, 0.03906840897863011, 0.09227387437519878, 0.07924961684249002, 0.055402393454591005, 0.06819212586194819, 0.11004381455657708, 0.09788645404283407, 0.09978784554814446]",101,2001,3
"[0.21653048460422744, 0.04223953207443366, 0.08917338089269998, 0.08486722667664048, 0.05206894982327661, 0.06226946007231964, 0.11139663435733817, 0.105886186885566, 0.11265431194882486]",102,2002,3
"[0.1559241642901875, 0.0631274681345007, 0.1009072411032124, 0.09596229008531085, 0.054019312439942, 0.056421139776113745, 0.1438082111163428, 0.09262574991087501, 0.12539607952297213]",103,2003,3
"[0.08670938610794487, 0.09336195888276361, 0.10561563456643941, 0.15222392959741474, 0.10847495847138326, 0.06651711228758124, 0.13944601649447688, 0.14671966836096803, 0.093126343298122]",104,2004,3
"[0.06678497152589509, 0.09087131258116729, 0.09291435121023812, 0.13693485107302933, 0.09482281536145441, 0.060937429281435, 0.13775806719010705, 0.1297374824800295, 0.09784023277813302]",105,2005,3
"[0.0445695963821462, 0.13664657468200936, 0.09436923242692574, 0.202389254065063, 0.14141656784775142, 0.07020342367165562, 0.16734890760398322, 0.15203730504741653, 0.10852532224876164]",106,2006,3
"[0.033114793573650686, 0.13761190060378192, 0.10115700136725363, 0.2008025456657841, 0.1455497194792617, 0.08344909561354234, 0.17416944949435206, 0.15273611925805536, 0.1311696591635075]",107,2007,3
"[0.027213834551092383, 0.1690272272284136, 0.10217085612404005, 0.24352875497370666, 0.15653729483847395, 0.07343768517123991, 0.16652524121299844, 0.17815925918230016, 0.08791746241825726]",108,2008,3
"[0.025408835320662786, 0.12701963261323818, 0.10352320868233032, 0.25067921401610177, 0.13318580930539686, 0.07809696206192111, 0.17067546706851897, 0.2039196395369208, 0.0966597105027354]",109,2009,3
"[0.02478402789474485, 0.15661227434409253, 0.09491427680019755, 0.2702012373668397, 0.1146563253563094, 0.07887346278698813, 0.17504381856344, 0.24838253873470997, 0.09585772046197391]",110,2010,3
